30,217.5,125.5,17,34,0.11394
30,267.25,78,17.5,35.25,0.0031914
30,344.25,-3.5,17.5,35.25,0.0036633
30,418.5,15,19.25,38.75,0.0017667
30,451.25,174.75,20.25,40.75,0.010108
30,-7,-4.25,28.5,57.25,0.0027882
30,414.75,-17.25,54,108.25,0.0047829
60,614.5,40.25,24,48,0.016823
60,160.25,134,26,52,0.0066349
60,587.75,104.25,51,102.25,0.0047318
60,88.5,71.5,59.5,119.25,0.00036039
60,135.25,44.5,84,168,0.002083
90,270,8,16,32,0.011292
90,166.5,146.75,23.5,47.25,0.0050348
90,549.25,200.25,29.25,58.75,0.0091612
90,523,175,66.75,133.75,0.017938
90,609.5,215.75,38.25,76.75,0.0065127
90,95.75,124.5,39,78,0.02793
90,524.5,58.5,46.5,93,0.0043519
120,136,-4,16,32.25,0.047374
120,272.5,34,18.5,37,0.014354
120,532,-3,18.5,37,0.0049799
120,592.5,56,23,46.25,0.020236
120,296.5,-7,23.5,47.25,0.025141
120,591.75,152.25,23.75,47.5,0.0041453
120,142,38.25,27.25,54.5,0.0038257
120,112,16,32,64.25,0.010118
120,18.25,117.25,42,84,0.12334
120,524.25,-16.75,102,204.25,0.0023748
120,-22.5,-18,124,248.25,0.0018041
150,412,110,16,32,0.013235
150,550,209.75,40.5,81,0.023161
150,245.75,-15.25,97.25,194.5,0.0014752
180,246.25,-2,16,32,0.019388
180,476,22,16,32,0.035083
180,175.5,59.5,18.5,37.25,0.0080894
180,384.75,118,20.75,41.5,0.036745
180,617.25,123.75,20.25,40.75,0.0026434
180,-5,179.25,23.5,47.25,0.0024735
180,48.25,99.5,23.5,47.25,0.0006666
180,147,88.5,26,52,0.0061279
180,-14.5,88,67,134.25,0.001707
180,593.25,65.5,56.75,113.75,0.001867
180,250.75,-18.5,84,168,0.00096208
210,152,50,16,32,0.007136
210,618,64.75,17.5,35,0.02949
210,265,26.75,20.25,40.75,0.0073225
210,559.5,49.25,23.5,47.25,0.00031923
210,51.5,-10.25,27,54,0.018751
210,-4.75,115.5,28,56.25,0.037932
210,62.5,-6,26,52,0.009413
210,14,119.75,34.75,69.75,0.00077785
210,473.25,-7,35.25,70.5,0.00050054
210,485,-11.5,40.75,81.5,0.0022933
210,-8,-6,46.75,93.5,3.409e-05
210,452.75,86,94.5,189,0.0013612
240,34.5,71,16.75,33.5,0.012315
240,544.75,108.75,16.75,33.5,0.00072099
240,126,73.5,17.5,35.25,0.00091848
240,97.75,124.75,22.5,45,0.0078864
